id,BookTitle,Author,Year,GivenRating,ReviewText,ReviewDate
14,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,1997,5.0,"This book was AMAZING.  [spoiler]  'Harry Potter and the Sorcerer's Stone (Harry Potter, #1)' by J.K. Rowling ... 💯",2024-06-20
15,The Velveteen Rabbit,Margery Williams Bianco,1922,3.3,This book was SO BAD.  [skip this part]  'The Velveteen Rabbit' by Margery Williams Bianco @@@ 💯,2023-04-22
16,How the Grinch Stole Christmas!,Dr. Seuss,1957,5.0,This book was SO BAD.  [note]  'How the Grinch Stole Christmas!' by Dr. Seuss ??? http://buybook.com,2023-01-21
17,Curious George,H.A. Rey,1941,3.2,This book was AMAZING.  [Review]  'Curious George' by H.A. Rey ### ✨,2024-11-22
18,The Monster at the End of this Book,Jon Stone,1971,4.5,This book was AMAZING.  [note]  'The Monster at the End of this Book' by Jon Stone ??? 💯,2025-05-31
19,Chicka Chicka Boom Boom,Bill Martin Jr. and John Archambault,1989,4.3,This book was MAGICAL.  [note]  'Chicka Chicka Boom Boom' by Bill Martin Jr. and John Archambault !!! http://buybook.com,2025-05-25
20,"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,1960,5.0,"This book was BORING.  [Review]  'One Fish, Two Fish, Red Fish, Blue Fish' by Dr. Seuss ... 💯",2023-12-31
21,The Little Prince,Antoine de Saint-Exupéry,1943,4.3,This book was MAGICAL.  [skip this part]  'The Little Prince' by Antoine de Saint-Exupéry ??? http://buybook.com,2024-05-25
22,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr. and Eric Carle,1966,3.3,"This book was SO BAD.  [skip this part]  'Brown Bear, Brown Bear, What Do You See?' by Bill Martin Jr. and Eric Carle ... http://buybook.com",2024-06-10
23,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,1972,5.0,"This book was BORING.  [skip this part]  'Alexander and the Terrible, Horrible, No Good, Very Bad Day' by Judith Viorst ??? #reading",2024-09-29
24,Matilda,Roald Dahl,1988,5.0,This book was AMAZING.  [spoiler]  'Matilda' by Roald Dahl !!! http://buybook.com,2024-03-08
25,"Harold and the Purple Crayon (Harold, #1)",Crockett Johnson,1955,4.3,"This book was SO BAD.  [spoiler]  'Harold and the Purple Crayon (Harold, #1)' by Crockett Johnson @@@ http://buybook.com",2025-03-21
26,"The Tale of Peter Rabbit (World of Beatrix Potter, #1)",Beatrix Potter,1902,4.2,"This book was AMAZING.  [Review]  'The Tale of Peter Rabbit (World of Beatrix Potter, #1)' by Beatrix Potter ### @friend",2024-11-13
27,Are You My Mother?,P.D. Eastman,1960,3.2,This book was BORING.  [note]  'Are You My Mother?' by P.D. Eastman @@@ @friend,2024-12-30
28,"Frog and Toad Are Friends (Frog and Toad, #1)",Arnold Lobel,1970,4.2,"This book was BORING.  [spoiler]  'Frog and Toad Are Friends (Frog and Toad, #1)' by Arnold Lobel !!! 💯",2024-01-06
29,"Oh, the Places You’ll Go!",Dr. Seuss,1990,3.4,"This book was LOVED IT.  [skip this part]  'Oh, the Places You’ll Go!' by Dr. Seuss ... 💯",2024-03-05
30,"Cloudy With a Chance of Meatballs (Cloudy with a Chance of Meatballs, #1)",Judi Barrett,1978,4.2,"This book was LOVED IT.  [spoiler]  'Cloudy With a Chance of Meatballs (Cloudy with a Chance of Meatballs, #1)' by Judi Barrett ??? ✨",2024-08-03
31,"The World of Winnie-the-Pooh (Winnie-the-Pooh, #1-2)",A.A. Milne,1926,5.0,"This book was SO BAD.  [note]  'The World of Winnie-the-Pooh (Winnie-the-Pooh, #1-2)' by A.A. Milne ### @friend",2023-10-03
32,The Secret Garden,Frances Hodgson Burnett,1911,3.2,This book was SO BAD.  [note]  'The Secret Garden' by Frances Hodgson Burnett ... #reading,2025-07-02
33,Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,1865,5.0,This book was AMAZING.  [skip this part]  'Alice’s Adventures in Wonderland / Through the Looking-Glass' by Lewis Carroll ### #reading,2025-03-11
34,Guess How Much I Love You,Sam McBratney,1994,4.4,This book was BORING.  [Review]  'Guess How Much I Love You' by Sam McBratney ??? http://buybook.com,2023-10-03
35,Horton Hears a Who!,Dr. Seuss,1954,4.2,This book was AMAZING.  [spoiler]  'Horton Hears a Who!' by Dr. Seuss ... ✨,2024-04-28
36,"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,1950,5.0,"This book was LOVED IT.  [note]  'The Chronicles of Narnia (The Chronicles of Narnia, #1-7)' by C.S. Lewis ??? @friend",2023-08-24
37,"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren,1945,4.2,"This book was BORING.  [skip this part]  'Pippi Longstocking (Pippi Långstrump, #1)' by Astrid Lindgren ### http://buybook.com",2023-03-28
38,The True Story of the 3 Little Pigs,Jon Scieszka,1989,3.3,This book was SO BAD.  [spoiler]  'The True Story of the 3 Little Pigs' by Jon Scieszka ### 💯,2024-04-19
39,The Little Engine That Could,Watty Piper,1930,5.0,This book was SO BAD.  [note]  'The Little Engine That Could' by Watty Piper ... http://buybook.com,2025-01-10
40,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,1908,3.3,"This book was LOVED IT.  [spoiler]  'Anne of Green Gables (Anne of Green Gables, #1)' by L.M. Montgomery @@@ #reading",2025-01-30
41,"Amelia Bedelia (Amelia Bedelia, #1)",Peggy Parish,1963,4.2,"This book was AMAZING.  [spoiler]  'Amelia Bedelia (Amelia Bedelia, #1)' by Peggy Parish ... 💯",2023-11-23
42,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,1964,3.2,"This book was LOVED IT.  [Review]  'Charlie and the Chocolate Factory (Charlie Bucket, #1)' by Roald Dahl ... http://buybook.com",2023-09-06
43,"The Hobbit, or There and Back Again (The Lord of the Rings, #0)",J.R.R. Tolkien,1937,5.0,"This book was MAGICAL.  [skip this part]  'The Hobbit, or There and Back Again (The Lord of the Rings, #0)' by J.R.R. Tolkien !!! ✨",2023-09-22
44,The BFG,Roald Dahl,1982,5.0,This book was AMAZING.  [skip this part]  'The BFG' by Roald Dahl !!! ✨,2024-04-17
45,The Stinky Cheese Man and Other Fairly Stupid Tales,Jon Scieszka,1992,4.2,This book was LOVED IT.  [Review]  'The Stinky Cheese Man and Other Fairly Stupid Tales' by Jon Scieszka ### ✨,2025-06-08
46,Stellaluna,Janell Cannon,1993,4.3,This book was BORING.  [Review]  'Stellaluna' by Janell Cannon ??? 💯,2024-01-09
47,The Poky Little Puppy,Janette Sebring Lowrey,1942,4.1,This book was MAGICAL.  [spoiler]  'The Poky Little Puppy' by Janette Sebring Lowrey !!! 💯,2023-07-07
48,Make Way for Ducklings,Robert McCloskey,1941,4.2,This book was AMAZING.  [Review]  'Make Way for Ducklings' by Robert McCloskey !!! 💯,2025-05-04
49,James and the Giant Peach,Roald Dahl,1961,4.0,This book was LOVED IT.  [note]  'James and the Giant Peach' by Roald Dahl !!! ✨,2023-08-30
50,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,1962,4.0,"This book was BORING.  [note]  'A Wrinkle in Time (Time Quintet, #1)' by Madeleine L'Engle ??? ✨",2023-02-07
51,Don't Let the Pigeon Drive the Bus!,Mo Willems,2003,5.0,This book was LOVED IT.  [skip this part]  'Don't Let the Pigeon Drive the Bus!' by Mo Willems !!! ✨,2023-09-27
52,The Polar Express,Chris Van Allsburg,1985,3.3,This book was AMAZING.  [spoiler]  'The Polar Express' by Chris Van Allsburg ... #reading,2024-11-29
53,The Phantom Tollbooth,Norton Juster,1961,3.2,This book was LOVED IT.  [skip this part]  'The Phantom Tollbooth' by Norton Juster ... ✨,2023-05-20
54,"Little House in the Big Woods (Little House, #1)",Laura Ingalls Wilder,1932,4.2,"This book was LOVED IT.  [note]  'Little House in the Big Woods (Little House, #1)' by Laura Ingalls Wilder @@@ @friend",2025-07-05
55,"Go, Dog. Go!",P.D. Eastman,1961,3.2,"This book was MAGICAL.  [spoiler]  'Go, Dog. Go!' by P.D. Eastman @@@ ✨",2024-04-22
56,"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,1900,3.0,"This book was MAGICAL.  [skip this part]  'The Wonderful Wizard of Oz (Oz, #1)' by L. Frank Baum !!! 💯",2024-07-26
57,The Rainbow Fish,Marcus Pfister,1992,5.0,This book was BORING.  [skip this part]  'The Rainbow Fish' by Marcus Pfister ### ✨,2023-12-12
58,"The Giver (The Giver, #1)",Lois Lowry,1993,3.1,"This book was SO BAD.  [skip this part]  'The Giver (The Giver, #1)' by Lois Lowry ### 💯",2025-04-03
59,The Story of Ferdinand,Munro Leaf,1936,4.4,This book was MAGICAL.  [note]  'The Story of Ferdinand' by Munro Leaf !!! ✨,2024-02-19
60,The Night Before Christmas,Clement Clarke Moore,1823,4.4,This book was AMAZING.  [skip this part]  'The Night Before Christmas' by Clement Clarke Moore ### #reading,2024-12-24
61,Bridge to Terabithia,Katherine Paterson,1977,4.0,This book was MAGICAL.  [Review]  'Bridge to Terabithia' by Katherine Paterson @@@ http://buybook.com,2025-03-21
62,Blueberries for Sal,Robert McCloskey,1948,3.2,This book was SO BAD.  [note]  'Blueberries for Sal' by Robert McCloskey !!! 💯,2023-07-29
63,"Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business",Esphyr Slobodkina,1940,3.2,"This book was LOVED IT.  [spoiler]  'Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business' by Esphyr Slobodkina ### http://buybook.com",2024-07-16
64,The Witches,Roald Dahl,1983,4.2,This book was BORING.  [skip this part]  'The Witches' by Roald Dahl ... 💯,2024-11-05
65,Clifford the Big Red Dog,Norman Bridwell,1963,5.0,This book was BORING.  [skip this part]  'Clifford the Big Red Dog' by Norman Bridwell !!! http://buybook.com,2024-09-28
66,Fox in Socks,Dr. Seuss,1965,4.1,This book was AMAZING.  [note]  'Fox in Socks' by Dr. Seuss ??? @friend,2025-02-28
67,"Little Bear (Little Bear, #1)",Else Holmelund Minarik,1957,4.2,"This book was MAGICAL.  [Review]  'Little Bear (Little Bear, #1)' by Else Holmelund Minarik ### ✨",2023-02-20
68,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,1950,5.0,"This book was MAGICAL.  [Review]  'The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)' by C.S. Lewis ### @friend",2023-09-18
69,The Paper Bag Princess,Robert Munsch,1980,5.0,This book was LOVED IT.  [Review]  'The Paper Bag Princess' by Robert Munsch ### http://buybook.com,2025-02-05
70,"The Snowy Day (Peter, #1)",Ezra Jack Keats,1962,4.2,"This book was LOVED IT.  [spoiler]  'The Snowy Day (Peter, #1)' by Ezra Jack Keats ### 💯",2025-02-14
71,Tikki Tikki Tembo,Arlene Mosel,1968,5.0,This book was AMAZING.  [spoiler]  'Tikki Tikki Tembo' by Arlene Mosel ### @friend,2023-07-25
72,A Bad Case of Stripes (Scholastic Bookshelf),David Shannon,1998,4.3,This book was AMAZING.  [spoiler]  'A Bad Case of Stripes (Scholastic Bookshelf)' by David Shannon ... 💯,2025-03-22
73,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,1926,4.4,"This book was LOVED IT.  [Review]  'Winnie-the-Pooh (Winnie-the-Pooh, #1)' by A.A. Milne @@@ http://buybook.com",2024-11-26
74,Chrysanthemum,Kevin Henkes,1991,4.3,This book was BORING.  [skip this part]  'Chrysanthemum' by Kevin Henkes !!! @friend,2023-08-29
75,"Miss Nelson Is Missing! (Miss Nelson, #1)",Harry Allard,1977,3.3,"This book was MAGICAL.  [note]  'Miss Nelson Is Missing! (Miss Nelson, #1)' by Harry Allard !!! ✨",2023-01-30
76,Falling Up,Shel Silverstein,1996,4.4,This book was BORING.  [spoiler]  'Falling Up' by Shel Silverstein ... ✨,2025-05-22
77,"Click, Clack, Moo: Cows That Type",Doreen Cronin,2000,4.3,"This book was LOVED IT.  [Review]  'Click, Clack, Moo: Cows That Type' by Doreen Cronin ... http://buybook.com",2023-08-25
78,The Tale of Despereaux,Kate DiCamillo,2003,4.1,This book was AMAZING.  [skip this part]  'The Tale of Despereaux' by Kate DiCamillo @@@ @friend,2023-09-04
79,The Sneetches and Other Stories,Dr. Seuss,1961,4.3,This book was AMAZING.  [skip this part]  'The Sneetches and Other Stories' by Dr. Seuss ... ✨,2024-03-12
80,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,1967,4.2,This book was MAGICAL.  [note]  'From the Mixed-Up Files of Mrs. Basil E. Frankweiler' by E.L. Konigsburg ??? ✨,2024-02-17
81,"The Story of Babar (Babar, #1)",Jean de Brunhoff,1931,4.1,"This book was SO BAD.  [skip this part]  'The Story of Babar (Babar, #1)' by Jean de Brunhoff ... 💯",2025-06-20
82,"The Indian in the Cupboard (The Indian in the Cupboard, #1)",Lynne Reid Banks,1980,3.9,"This book was MAGICAL.  [Review]  'The Indian in the Cupboard (The Indian in the Cupboard, #1)' by Lynne Reid Banks ... http://buybook.com",2024-11-28
83,The Adventures of Tom Sawyer,Mark Twain,1876,2.9,This book was MAGICAL.  [Review]  'The Adventures of Tom Sawyer' by Mark Twain !!! 💯,2023-11-21
84,"The Mouse and the Motorcycle (Ralph S. Mouse, #1)",Beverly Cleary,1965,3.0,"This book was LOVED IT.  [note]  'The Mouse and the Motorcycle (Ralph S. Mouse, #1)' by Beverly Cleary !!! ✨",2025-03-16
85,"Olivia (Olivia, #1)",Ian Falconer,2000,5.0,"This book was LOVED IT.  [Review]  'Olivia (Olivia, #1)' by Ian Falconer !!! 💯",2024-04-06
86,"Sideways Stories from Wayside School (Wayside School, #1)",Louis Sachar,1978,3.2,"This book was AMAZING.  [Review]  'Sideways Stories from Wayside School (Wayside School, #1)' by Louis Sachar ... @friend",2023-08-23
87,"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,1932,4.4,"This book was BORING.  [note]  'The Little House Collection (Little House, #1-9)' by Laura Ingalls Wilder @@@ @friend",2023-01-14
88,The Neverending Story,Michael Ende,1979,3.2,This book was AMAZING.  [note]  'The Neverending Story' by Michael Ende ??? http://buybook.com,2024-11-10
89,"Ramona the Pest (Ramona, #2)",Beverly Cleary,1968,3.1,"This book was MAGICAL.  [Review]  'Ramona the Pest (Ramona, #2)' by Beverly Cleary ... 💯",2024-01-11
90,Hop On Pop,Dr. Seuss,1963,3.0,This book was MAGICAL.  [Review]  'Hop On Pop' by Dr. Seuss ... ✨,2023-06-22
91,The Little House,Virginia Lee Burton,1942,4.3,This book was AMAZING.  [spoiler]  'The Little House' by Virginia Lee Burton ... 💯,2025-06-07
92,Harry the Dirty Dog,Gene Zion,1956,5.0,This book was AMAZING.  [spoiler]  'Harry the Dirty Dog' by Gene Zion @@@ @friend,2025-03-29
93,The Runaway Bunny,Margaret Wise Brown,1942,4.1,This book was BORING.  [spoiler]  'The Runaway Bunny' by Margaret Wise Brown !!! http://buybook.com,2024-08-26
94,Horton Hatches the Egg,Dr. Seuss,1940,5.0,This book was AMAZING.  [Review]  'Horton Hatches the Egg' by Dr. Seuss ### #reading,2024-08-08
95,"Bunnicula: A Rabbit-Tale of Mystery (Bunnicula, #1)",Deborah Howe,1979,3.9,"This book was MAGICAL.  [spoiler]  'Bunnicula: A Rabbit-Tale of Mystery (Bunnicula, #1)' by Deborah Howe ### http://buybook.com",2024-09-03
96,Stone Soup,Jon J. Muth,2003,5.0,This book was MAGICAL.  [note]  'Stone Soup' by Jon J. Muth @@@ @friend,2024-07-11
97,A Light in the Attic,Shel Silverstein,1981,4.4,This book was SO BAD.  [spoiler]  'A Light in the Attic' by Shel Silverstein @@@ 💯,2023-11-06
98,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,1999,5.0,"This book was SO BAD.  [spoiler]  'Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)' by J.K. Rowling ??? 💯",2025-02-24
99,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,1998,4.4,"This book was SO BAD.  [skip this part]  'Harry Potter and the Chamber of Secrets (Harry Potter, #2)' by J.K. Rowling ... @friend",2023-06-11
100,The Three Billy Goats Gruff,Paul Galdone,1973,3.2,This book was SO BAD.  [note]  'The Three Billy Goats Gruff' by Paul Galdone ... #reading,2024-03-17
101,Where the Wild Things Are,Maurice Sendak,1963,4.2,This book was AMAZING.  [spoiler]  'Where the Wild Things Are' by Maurice Sendak ??? http://buybook.com,2024-12-28
102,The Very Hungry Caterpillar,Eric Carle,1969,4.3,This book was SO BAD.  [note]  'The Very Hungry Caterpillar' by Eric Carle @@@ @friend,2025-05-05
103,The Giving Tree,Shel Silverstein,1964,3.4,This book was SO BAD.  [Review]  'The Giving Tree' by Shel Silverstein ... #reading,2024-01-28
104,Green Eggs and Ham,Dr. Seuss,1960,5.0,This book was LOVED IT.  [skip this part]  'Green Eggs and Ham' by Dr. Seuss ### #reading,2025-05-16
105,Goodnight Moon,Margaret Wise Brown,1947,4.3,This book was BORING.  [spoiler]  'Goodnight Moon' by Margaret Wise Brown !!! ✨,2025-07-04
106,Charlotte’s Web,E.B. White,1952,4.2,This book was AMAZING.  [Review]  'Charlotte’s Web' by E.B. White ### ✨,2025-04-10
107,"The Cat in the Hat (Cat in the Hat, #1)",Dr. Seuss,1957,5.0,"This book was LOVED IT.  [Review]  'The Cat in the Hat (Cat in the Hat, #1)' by Dr. Seuss @@@ ✨",2024-05-24
108,Where the Sidewalk Ends,Shel Silverstein,1974,5.0,This book was LOVED IT.  [note]  'Where the Sidewalk Ends' by Shel Silverstein ??? 💯,2024-01-20
109,If You Give a Mouse a Cookie,Laura Joffe Numeroff,1985,5.0,This book was BORING.  [note]  'If You Give a Mouse a Cookie' by Laura Joffe Numeroff @@@ http://buybook.com,2025-06-01
110,Love You Forever,Robert Munsch,1986,5.0,This book was MAGICAL.  [skip this part]  'Love You Forever' by Robert Munsch !!! @friend,2024-08-09
111,Corduroy,Don Freeman,1968,4.3,This book was LOVED IT.  [spoiler]  'Corduroy' by Don Freeman !!! #reading,2024-08-23
112,The Lorax,Dr. Seuss,1971,3.3,This book was AMAZING.  [note]  'The Lorax' by Dr. Seuss ... http://buybook.com,2023-11-29
113,Madeline,Ludwig Bemelmans,1939,4.3,This book was SO BAD.  [Review]  'Madeline' by Ludwig Bemelmans ### 💯,2023-10-02
114,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,1997,5.0,"This book was BORING.  [Review]  'Harry Potter and the Sorcerer's Stone (Harry Potter, #1)' by J.K. Rowling ... ✨",2023-08-05
115,The Velveteen Rabbit,Margery Williams Bianco,1922,3.3,This book was SO BAD.  [note]  'The Velveteen Rabbit' by Margery Williams Bianco !!! #reading,2024-05-28
116,How the Grinch Stole Christmas!,Dr. Seuss,1957,4.4,This book was AMAZING.  [note]  'How the Grinch Stole Christmas!' by Dr. Seuss @@@ #reading,2024-07-11
117,Curious George,H.A. Rey,1941,4.2,This book was LOVED IT.  [spoiler]  'Curious George' by H.A. Rey ### @friend,2024-11-27
118,The Monster at the End of this Book,Jon Stone,1971,5.0,This book was BORING.  [Review]  'The Monster at the End of this Book' by Jon Stone ... ✨,2024-11-20
119,Chicka Chicka Boom Boom,Bill Martin Jr. and John Archambault,1989,4.3,This book was LOVED IT.  [Review]  'Chicka Chicka Boom Boom' by Bill Martin Jr. and John Archambault !!! #reading,2024-12-23
120,"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,1960,4.2,"This book was BORING.  [spoiler]  'One Fish, Two Fish, Red Fish, Blue Fish' by Dr. Seuss ??? @friend",2023-09-12
121,The Little Prince,Antoine de Saint-Exupéry,1943,3.3,This book was AMAZING.  [Review]  'The Little Prince' by Antoine de Saint-Exupéry @@@ 💯,2023-09-12
122,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr. and Eric Carle,1966,4.3,"This book was MAGICAL.  [note]  'Brown Bear, Brown Bear, What Do You See?' by Bill Martin Jr. and Eric Carle ... ✨",2025-05-24
123,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,1972,3.2,"This book was AMAZING.  [spoiler]  'Alexander and the Terrible, Horrible, No Good, Very Bad Day' by Judith Viorst ??? http://buybook.com",2025-02-07
124,Matilda,Roald Dahl,1988,4.3,This book was MAGICAL.  [note]  'Matilda' by Roald Dahl !!! http://buybook.com,2024-10-10
125,"Harold and the Purple Crayon (Harold, #1)",Crockett Johnson,1955,4.3,"This book was BORING.  [skip this part]  'Harold and the Purple Crayon (Harold, #1)' by Crockett Johnson ... http://buybook.com",2023-08-31
126,"The Tale of Peter Rabbit (World of Beatrix Potter, #1)",Beatrix Potter,1902,3.2,"This book was AMAZING.  [spoiler]  'The Tale of Peter Rabbit (World of Beatrix Potter, #1)' by Beatrix Potter ??? #reading",2025-08-07
127,Are You My Mother?,P.D. Eastman,1960,5.0,This book was BORING.  [Review]  'Are You My Mother?' by P.D. Eastman ### ✨,2024-12-17
128,"Frog and Toad Are Friends (Frog and Toad, #1)",Arnold Lobel,1970,5.0,"This book was AMAZING.  [skip this part]  'Frog and Toad Are Friends (Frog and Toad, #1)' by Arnold Lobel !!! ✨",2024-01-05
129,"Oh, the Places You’ll Go!",Dr. Seuss,1990,4.4,"This book was AMAZING.  [note]  'Oh, the Places You’ll Go!' by Dr. Seuss ??? 💯",2023-02-09
130,"Cloudy With a Chance of Meatballs (Cloudy with a Chance of Meatballs, #1)",Judi Barrett,1978,4.2,"This book was LOVED IT.  [spoiler]  'Cloudy With a Chance of Meatballs (Cloudy with a Chance of Meatballs, #1)' by Judi Barrett ??? ✨",2024-03-25
131,"The World of Winnie-the-Pooh (Winnie-the-Pooh, #1-2)",A.A. Milne,1926,5.0,"This book was LOVED IT.  [note]  'The World of Winnie-the-Pooh (Winnie-the-Pooh, #1-2)' by A.A. Milne !!! ✨",2024-02-17
132,The Secret Garden,Frances Hodgson Burnett,1911,5.0,This book was LOVED IT.  [Review]  'The Secret Garden' by Frances Hodgson Burnett ### 💯,2023-05-04
133,Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,1865,5.0,This book was BORING.  [note]  'Alice’s Adventures in Wonderland / Through the Looking-Glass' by Lewis Carroll !!! @friend,2023-10-19
134,Guess How Much I Love You,Sam McBratney,1994,4.4,This book was SO BAD.  [Review]  'Guess How Much I Love You' by Sam McBratney ... http://buybook.com,2023-12-17
135,Horton Hears a Who!,Dr. Seuss,1954,4.2,This book was AMAZING.  [note]  'Horton Hears a Who!' by Dr. Seuss ??? #reading,2023-11-03
136,"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,1950,5.0,"This book was MAGICAL.  [spoiler]  'The Chronicles of Narnia (The Chronicles of Narnia, #1-7)' by C.S. Lewis ### ✨",2024-09-18
137,"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren,1945,5.0,"This book was SO BAD.  [spoiler]  'Pippi Longstocking (Pippi Långstrump, #1)' by Astrid Lindgren !!! #reading",2023-08-16
138,The True Story of the 3 Little Pigs,Jon Scieszka,1989,3.3,This book was BORING.  [spoiler]  'The True Story of the 3 Little Pigs' by Jon Scieszka @@@ http://buybook.com,2023-09-13
139,The Little Engine That Could,Watty Piper,1930,4.2,This book was LOVED IT.  [Review]  'The Little Engine That Could' by Watty Piper ??? #reading,2023-11-05
140,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,1908,3.3,"This book was LOVED IT.  [note]  'Anne of Green Gables (Anne of Green Gables, #1)' by L.M. Montgomery ??? #reading",2024-01-08
141,"Amelia Bedelia (Amelia Bedelia, #1)",Peggy Parish,1963,5.0,"This book was MAGICAL.  [Review]  'Amelia Bedelia (Amelia Bedelia, #1)' by Peggy Parish ... @friend",2025-02-19
142,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,1964,4.2,"This book was BORING.  [note]  'Charlie and the Chocolate Factory (Charlie Bucket, #1)' by Roald Dahl ... ✨",2025-01-05
143,"The Hobbit, or There and Back Again (The Lord of the Rings, #0)",J.R.R. Tolkien,1937,5.0,"This book was LOVED IT.  [skip this part]  'The Hobbit, or There and Back Again (The Lord of the Rings, #0)' by J.R.R. Tolkien ??? ✨",2024-03-05
144,The BFG,Roald Dahl,1982,4.2,This book was SO BAD.  [Review]  'The BFG' by Roald Dahl ... 💯,2023-01-15
145,The Stinky Cheese Man and Other Fairly Stupid Tales,Jon Scieszka,1992,4.2,This book was SO BAD.  [note]  'The Stinky Cheese Man and Other Fairly Stupid Tales' by Jon Scieszka ... ✨,2023-08-22
146,Stellaluna,Janell Cannon,1993,4.3,This book was LOVED IT.  [spoiler]  'Stellaluna' by Janell Cannon ... http://buybook.com,2024-04-22
147,The Poky Little Puppy,Janette Sebring Lowrey,1942,3.1,This book was MAGICAL.  [skip this part]  'The Poky Little Puppy' by Janette Sebring Lowrey ### ✨,2024-05-22
148,Make Way for Ducklings,Robert McCloskey,1941,3.2,This book was BORING.  [skip this part]  'Make Way for Ducklings' by Robert McCloskey ??? 💯,2025-04-29
149,James and the Giant Peach,Roald Dahl,1961,4.0,This book was MAGICAL.  [note]  'James and the Giant Peach' by Roald Dahl ... #reading,2023-08-07
150,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,1962,5.0,"This book was AMAZING.  [note]  'A Wrinkle in Time (Time Quintet, #1)' by Madeleine L'Engle @@@ http://buybook.com",2023-02-09
